epoch,frame_auc,frame_f1_score,frame_fn,frame_fp,frame_precision,frame_tn,frame_tp,loss,utt_auc,utt_f1_score,utt_fn,utt_fp,utt_precision,utt_tn,utt_tp,val_frame_auc,val_frame_f1_score,val_frame_fn,val_frame_fp,val_frame_precision,val_frame_tn,val_frame_tp,val_loss,val_utt_auc,val_utt_f1_score,val_utt_fn,val_utt_fp,val_utt_precision,val_utt_tn,val_utt_tp
0,0.8554078340530396,0.04704350605607033,2558.0,3422198.0,0.024105926975607872,95021.0,84533.0,2124.03271484375,0.5151642560958862,0.9846799373626709,856.0,46.0,0.9700520634651184,27.0,1490.0,0.888619601726532,0.04524087533354759,0.0,1174601.0,0.023143967613577843,0.0,27829.0,25.18343162536621,0.5,0.9829867482185364,0.0,27.0,0.9665427803993225,0.0,780.0
1,0.8816177845001221,0.04718587175011635,0.0,3517219.0,0.02416301518678665,0.0,87091.0,16.519075393676758,0.5341531038284302,0.9846799373626709,0.0,73.0,0.9698222279548645,0.0,2346.0,0.8885024785995483,0.04524087533354759,0.0,1174601.0,0.023143967613577843,0.0,27829.0,10.889045715332031,0.8549858331680298,0.9829867482185364,0.0,27.0,0.9665427803993225,0.0,780.0
2,0.8816051483154297,0.04718587175011635,0.0,3517219.0,0.02416301518678665,0.0,87091.0,9.644079208374023,0.5373501181602478,0.9846799373626709,0.0,73.0,0.9698222279548645,0.0,2346.0,0.8885024785995483,0.04524087533354759,0.0,1174601.0,0.023143967613577843,0.0,27829.0,7.588286399841309,0.5,0.9829867482185364,0.0,27.0,0.9665427803993225,0.0,780.0
3,0.8816051483154297,0.04718587175011635,0.0,3517219.0,0.02416301518678665,0.0,87091.0,6.993556022644043,0.563503623008728,0.9846799373626709,0.0,73.0,0.9698222279548645,0.0,2346.0,0.8885024785995483,0.04524087533354759,0.0,1174601.0,0.023143967613577843,0.0,27829.0,5.7194929122924805,0.8518518209457397,0.9829867482185364,0.0,27.0,0.9665427803993225,0.0,780.0
4,0.8816057443618774,0.04718587175011635,0.0,3517219.0,0.02416301518678665,0.0,87091.0,5.407646656036377,0.50020432472229,0.9846799373626709,0.0,73.0,0.9698222279548645,0.0,2346.0,0.88847815990448,0.04524087533354759,0.0,1174601.0,0.023143967613577843,0.0,27829.0,4.529163360595703,0.5,0.9829867482185364,0.0,27.0,0.9665427803993225,0.0,780.0
5,0.881550133228302,0.04718587175011635,0.0,3517219.0,0.02416301518678665,0.0,87091.0,4.351585865020752,0.515494167804718,0.9846799373626709,0.0,73.0,0.9698222279548645,0.0,2346.0,0.8883781433105469,0.04524087533354759,0.0,1174601.0,0.023143967613577843,0.0,27829.0,3.7220170497894287,0.8518518209457397,0.9829867482185364,0.0,27.0,0.9665427803993225,0.0,780.0
6,0.8814898729324341,0.04718587175011635,0.0,3517219.0,0.02416301518678665,0.0,87091.0,3.61110520362854,0.5657399892807007,0.9846799373626709,0.0,73.0,0.9698222279548645,0.0,2346.0,0.888361930847168,0.04524087533354759,0.0,1174601.0,0.023143967613577843,0.0,27829.0,3.135415554046631,0.5,0.9829867482185364,0.0,27.0,0.9665427803993225,0.0,780.0
7,0.8814793825149536,0.04718587175011635,0.0,3517219.0,0.02416301518678665,0.0,87091.0,3.062345266342163,0.5509669184684753,0.9846799373626709,0.0,73.0,0.9698222279548645,0.0,2346.0,0.8883565664291382,0.04524087533354759,0.0,1174601.0,0.023143967613577843,0.0,27829.0,2.681147575378418,0.5,0.9829867482185364,0.0,27.0,0.9665427803993225,0.0,780.0
8,0.8814786076545715,0.04718587175011635,0.0,3517219.0,0.02416301518678665,0.0,87091.0,2.6363964080810547,0.6222570538520813,0.9846799373626709,0.0,73.0,0.9698222279548645,0.0,2346.0,0.8883548974990845,0.04524087533354759,0.0,1174601.0,0.023143967613577843,0.0,27829.0,2.330437183380127,0.5,0.9829867482185364,0.0,27.0,0.9665427803993225,0.0,780.0
9,0.8814780712127686,0.04718587175011635,0.0,3517219.0,0.02416301518678665,0.0,87091.0,2.297027349472046,0.5,0.9846799373626709,0.0,73.0,0.9698222279548645,0.0,2346.0,0.8883544206619263,0.04524087533354759,0.0,1174601.0,0.023143967613577843,0.0,27829.0,2.0480475425720215,0.5,0.9829867482185364,0.0,27.0,0.9665427803993225,0.0,780.0
