epoch,frame_auc,frame_f1_score,frame_fn,frame_fp,frame_precision,frame_tn,frame_tp,loss,utt_auc,utt_f1_score,utt_fn,utt_fp,utt_precision,utt_tn,utt_tp,val_frame_auc,val_frame_f1_score,val_frame_fn,val_frame_fp,val_frame_precision,val_frame_tn,val_frame_tp,val_loss,val_utt_auc,val_utt_f1_score,val_utt_fn,val_utt_fp,val_utt_precision,val_utt_tn,val_utt_tp
0,0.8817130923271179,0.04753105342388153,127.0,3442592.0,0.024344954639673233,77180.0,85901.0,1839.1444091796875,0.5077718496322632,0.9819099307060242,0.0,86.0,0.9644628167152405,0.0,2334.0,0.8794874548912048,0.04698527231812477,0.0,1172048.0,0.024057822301983833,0.0,28892.0,15.96367073059082,0.5,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
1,0.8846086263656616,0.04660455137491226,0.0,3519772.0,0.02385822869837284,0.0,86028.0,8.75538444519043,0.5,0.9819099307060242,0.0,86.0,0.9644628167152405,0.0,2334.0,0.8794263005256653,0.04698527231812477,0.0,1172048.0,0.024057822301983833,0.0,28892.0,5.186532497406006,0.5,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
2,0.8844854831695557,0.04660455137491226,0.0,3519772.0,0.02385822869837284,0.0,86028.0,4.407890796661377,0.5,0.9819099307060242,0.0,86.0,0.9644628167152405,0.0,2334.0,0.8793438076972961,0.04698527231812477,0.0,1172048.0,0.024057822301983833,0.0,28892.0,3.2503139972686768,0.5,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
3,0.8844832181930542,0.04660455137491226,0.0,3519772.0,0.02385822869837284,0.0,86028.0,2.933438777923584,0.5,0.9819099307060242,0.0,86.0,0.9644628167152405,0.0,2334.0,0.8793454170227051,0.04698527231812477,0.0,1172048.0,0.024057822301983833,0.0,28892.0,2.2104265689849854,0.5,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
4,0.8844829797744751,0.04660455137491226,0.0,3519772.0,0.02385822869837284,0.0,86028.0,2.0763819217681885,0.5,0.9819099307060242,0.0,86.0,0.9644628167152405,0.0,2334.0,0.8793454170227051,0.04698527231812477,0.0,1172048.0,0.024057822301983833,0.0,28892.0,1.5840959548950195,0.5,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
5,0.8844829201698303,0.04660455137491226,0.0,3519772.0,0.02385822869837284,0.0,86028.0,1.527020812034607,0.5,0.9819099307060242,0.0,86.0,0.9644628167152405,0.0,2334.0,0.8793454170227051,0.04698527231812477,0.0,1172048.0,0.024057822301983833,0.0,28892.0,1.1909668445587158,0.5,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
6,0.8844829797744751,0.04660455137491226,0.0,3519772.0,0.02385822869837284,0.0,86028.0,1.166421890258789,0.5,0.9819099307060242,0.0,86.0,0.9644628167152405,0.0,2334.0,0.8793454170227051,0.04698527231812477,0.0,1172048.0,0.024057822301983833,0.0,28892.0,0.9135075211524963,0.5,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
7,0.8844829201698303,0.04660455137491226,0.0,3519772.0,0.02385822869837284,0.0,86028.0,0.9088513851165771,0.5,0.9819099307060242,0.0,86.0,0.9644628167152405,0.0,2334.0,0.8793454170227051,0.04698527231812477,0.0,1172048.0,0.024057822301983833,0.0,28892.0,0.7236966490745544,0.5,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
8,0.8844829797744751,0.04660455137491226,0.0,3519772.0,0.02385822869837284,0.0,86028.0,0.7261233329772949,0.5,0.9819099307060242,0.0,86.0,0.9644628167152405,0.0,2334.0,0.8793454170227051,0.04698527231812477,0.0,1172048.0,0.024057822301983833,0.0,28892.0,0.5807821154594421,0.5,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
9,0.8844829201698303,0.04660455137491226,0.0,3519772.0,0.02385822869837284,0.0,86028.0,0.5904980301856995,0.5,0.9819099307060242,0.0,86.0,0.9644628167152405,0.0,2334.0,0.8793454170227051,0.04698527231812477,0.0,1172048.0,0.024057822301983833,0.0,28892.0,0.47357553243637085,0.5,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
