epoch,frame_auc,frame_f1_score,frame_fn,frame_fp,frame_precision,frame_tn,frame_tp,loss,utt_auc,utt_f1_score,utt_fn,utt_fp,utt_precision,utt_tn,utt_tp,val_frame_auc,val_frame_f1_score,val_frame_fn,val_frame_fp,val_frame_precision,val_frame_tn,val_frame_tp,val_loss,val_utt_auc,val_utt_f1_score,val_utt_fn,val_utt_fp,val_utt_precision,val_utt_tn,val_utt_tp
0,0.8804993629455566,0.04751524329185486,54.0,3446794.0,0.024336157366633415,72978.0,85974.0,0.5032379627227783,0.5413777232170105,0.9819099307060242,0.0,86.0,0.9644628167152405,0.0,2334.0,0.8795102834701538,0.04698527231812477,0.0,1172048.0,0.024057822301983833,0.0,28892.0,0.3895437717437744,0.7487373352050781,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
1,0.8846768736839294,0.046604689210653305,0.0,3519761.0,0.02385830134153366,11.0,86028.0,0.3357582688331604,0.6394277811050415,0.9819099307060242,0.0,86.0,0.9644628167152405,0.0,2334.0,0.8795670866966248,0.046973638236522675,8.0,1172020.0,0.024051880463957787,28.0,28884.0,0.25108641386032104,0.7378246784210205,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
2,0.8844793438911438,0.08372402936220169,36.0,1882157.0,0.043691813945770264,1637615.0,85992.0,0.22596675157546997,0.7991246581077576,0.9819099307060242,0.0,86.0,0.9644628167152405,0.0,2334.0,0.8787924647331238,0.16949330270290375,30.0,282814.0,0.09260257333517075,889234.0,28862.0,0.16631294786930084,0.7487373352050781,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
3,0.8840941190719604,0.17452281713485718,68.0,813098.0,0.09561118483543396,2706674.0,85960.0,0.16655661165714264,0.8000762462615967,0.9819099307060242,0.0,86.0,0.9644628167152405,0.0,2334.0,0.8788726925849915,0.16943798959255219,19.0,283044.0,0.09256628900766373,889004.0,28873.0,0.12098070234060287,0.7487373352050781,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
4,0.884217381477356,0.1745126098394394,39.0,813459.0,0.09560196846723557,2706313.0,85989.0,0.13793039321899414,0.7652647495269775,0.9819099307060242,0.0,86.0,0.9644628167152405,0.0,2334.0,0.8787057399749756,0.16944603621959686,25.0,282963.0,0.09257287532091141,889085.0,28867.0,0.09798585623502731,0.7487373352050781,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
5,0.8839110732078552,0.1745496392250061,76.0,812863.0,0.09562813490629196,2706909.0,85952.0,0.12415583431720734,0.801884651184082,0.9819099307060242,0.0,86.0,0.9644628167152405,0.0,2334.0,0.8788356184959412,0.16943612694740295,20.0,283037.0,0.09256546199321747,889011.0,28872.0,0.08618804812431335,0.7487373352050781,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
6,0.884217381477356,0.17451700568199158,37.0,813455.0,0.09560440480709076,2706317.0,85991.0,0.11741102486848831,0.7890884876251221,0.9819099307060242,0.0,86.0,0.9644628167152405,0.0,2334.0,0.8787992596626282,0.1694292426109314,21.0,283040.0,0.09256166219711304,889008.0,28871.0,0.07954771816730499,0.7487373352050781,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
7,0.8842588067054749,0.1745147556066513,30.0,813541.0,0.09560230374336243,2706231.0,85998.0,0.11399398744106293,0.8010751008987427,0.9819099307060242,0.0,86.0,0.9644628167152405,0.0,2334.0,0.8788447380065918,0.16943500936031342,19.0,283050.0,0.09256450831890106,888998.0,28873.0,0.07559891790151596,0.7487373352050781,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
8,0.8842462301254272,0.17451111972332,31.0,813551.0,0.09560023248195648,2706221.0,85997.0,0.11211320757865906,0.7622456550598145,0.9819099307060242,0.0,86.0,0.9644628167152405,0.0,2334.0,0.8788637518882751,0.16941900551319122,18.0,283093.0,0.09255465865135193,888955.0,28874.0,0.07288249582052231,0.7487373352050781,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
9,0.8841719031333923,0.17451710999011993,40.0,813423.0,0.0956047922372818,2706349.0,85988.0,0.11083578318357468,0.7902692556381226,0.9819099307060242,0.0,86.0,0.9644628167152405,0.0,2334.0,0.8787699937820435,0.1694248467683792,22.0,283038.0,0.0925593450665474,889010.0,28870.0,0.07149101793766022,0.7487373352050781,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
