epoch,frame_auc,frame_f1_score,frame_fn,frame_fp,frame_precision,frame_tn,frame_tp,loss,utt_auc,utt_f1_score,utt_fn,utt_fp,utt_precision,utt_tn,utt_tp,val_frame_auc,val_frame_f1_score,val_frame_fn,val_frame_fp,val_frame_precision,val_frame_tn,val_frame_tp,val_loss,val_utt_auc,val_utt_f1_score,val_utt_fn,val_utt_fp,val_utt_precision,val_utt_tn,val_utt_tp
0,0.8815426230430603,0.04723600298166275,0.0,3444561.0,0.024189308285713196,74362.0,85387.0,674.0648193359375,0.42702364921569824,0.9853187203407288,2349.0,0.0,0.0,70.0,0.0,0.8857511878013611,0.04794462025165558,0.0,1172897.0,0.024561097845435143,0.0,29533.0,7.240773677825928,0.5,0.9810605645179749,777.0,0.0,0.0,30.0,0.0
1,0.8824983835220337,0.046284012496471405,0.0,3518923.0,0.023690247908234596,0.0,85387.0,5.5810370445251465,0.5,0.9853187203407288,2349.0,0.0,0.0,70.0,0.0,0.8856886029243469,0.04794462025165558,0.0,1172897.0,0.024561097845435143,0.0,29533.0,4.5978899002075195,0.5,0.9810605645179749,777.0,0.0,0.0,30.0,0.0
2,0.8824319839477539,0.046284012496471405,0.0,3518923.0,0.023690247908234596,0.0,85387.0,4.000757217407227,0.5,0.9853187203407288,2349.0,0.0,0.0,70.0,0.0,0.8856585025787354,0.04794462025165558,0.0,1172897.0,0.024561097845435143,0.0,29533.0,3.4961488246917725,0.5,0.9810605645179749,777.0,0.0,0.0,30.0,0.0
3,0.8823959827423096,0.046284012496471405,0.0,3518923.0,0.023690247908234596,0.0,85387.0,3.0784215927124023,0.5,0.9853187203407288,2349.0,0.0,0.0,70.0,0.0,0.8856364488601685,0.04794462025165558,0.0,1172897.0,0.024561097845435143,0.0,29533.0,2.735870599746704,0.5,0.9810605645179749,777.0,0.0,0.0,30.0,0.0
4,0.8823866844177246,0.046284012496471405,0.0,3518923.0,0.023690247908234596,0.0,85387.0,2.425597667694092,0.5,0.9853187203407288,2349.0,0.0,0.0,70.0,0.0,0.8856351971626282,0.04794462025165558,0.0,1172897.0,0.024561097845435143,0.0,29533.0,2.170989990234375,0.5,0.9810605645179749,777.0,0.0,0.0,30.0,0.0
5,0.8823877573013306,0.046284012496471405,0.0,3518923.0,0.023690247908234596,0.0,85387.0,1.9500771760940552,0.5,0.9853187203407288,2349.0,0.0,0.0,70.0,0.0,0.8856351375579834,0.04794462025165558,0.0,1172897.0,0.024561097845435143,0.0,29533.0,1.7668672800064087,0.5,0.9810605645179749,777.0,0.0,0.0,30.0,0.0
6,0.882387638092041,0.046284012496471405,0.0,3518923.0,0.023690247908234596,0.0,85387.0,1.5983729362487793,0.5,0.9853187203407288,2349.0,0.0,0.0,70.0,0.0,0.8856351971626282,0.04794462025165558,0.0,1172897.0,0.024561097845435143,0.0,29533.0,1.4617536067962646,0.5,0.9810605645179749,777.0,0.0,0.0,30.0,0.0
7,0.882387638092041,0.046284012496471405,0.0,3518923.0,0.023690247908234596,0.0,85387.0,1.3363922834396362,0.5,0.9853187203407288,2349.0,0.0,0.0,70.0,0.0,0.8856351971626282,0.04794462025165558,0.0,1172897.0,0.024561097845435143,0.0,29533.0,1.2246676683425903,0.5,0.9810605645179749,777.0,0.0,0.0,30.0,0.0
8,0.882387638092041,0.046284012496471405,0.0,3518923.0,0.023690247908234596,0.0,85387.0,1.127647042274475,0.5,0.9853187203407288,2349.0,0.0,0.0,70.0,0.0,0.8856351971626282,0.04794462025165558,0.0,1172897.0,0.024561097845435143,0.0,29533.0,1.0462416410446167,0.5,0.9810605645179749,777.0,0.0,0.0,30.0,0.0
9,0.8823875784873962,0.046284012496471405,0.0,3518923.0,0.023690247908234596,0.0,85387.0,0.9668138027191162,0.5,0.9853187203407288,2349.0,0.0,0.0,70.0,0.0,0.8856351375579834,0.04794462025165558,0.0,1172897.0,0.024561097845435143,0.0,29533.0,0.89873206615448,0.5,0.9810605645179749,777.0,0.0,0.0,30.0,0.0
