epoch,frame_auc,frame_f1_score,frame_fn,frame_fp,frame_precision,frame_tn,frame_tp,loss,utt_auc,utt_f1_score,utt_fn,utt_fp,utt_precision,utt_tn,utt_tp,val_frame_auc,val_frame_f1_score,val_frame_fn,val_frame_fp,val_frame_precision,val_frame_tn,val_frame_tp,val_loss,val_utt_auc,val_utt_f1_score,val_utt_fn,val_utt_fp,val_utt_precision,val_utt_tn,val_utt_tp
0,0.1311405599117279,0.022433919832110405,84926.0,11114.0,0.09020955860614777,3508658.0,1102.0,1.0164217948913574,0.5572676658630371,0.9819099307060242,448.0,64.0,0.9671794772148132,22.0,1886.0,0.12081684172153473,0.0,28892.0,0.0,0.0,1172048.0,0.0,0.9288052320480347,0.5132575631141663,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
1,0.11468589305877686,0.0,86028.0,0.0,0.0,3519772.0,0.0,0.900783896446228,0.4480605125427246,0.9819099307060242,0.0,86.0,0.9644628167152405,0.0,2334.0,0.12223587930202484,0.0,28892.0,0.0,0.0,1172048.0,0.0,0.84494549036026,0.3323412835597992,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
2,0.11411476880311966,0.0,86028.0,0.0,0.0,3519772.0,0.0,0.8137597441673279,0.4205077886581421,0.9819099307060242,0.0,86.0,0.9644628167152405,0.0,2334.0,0.12215035408735275,0.0,28892.0,0.0,0.0,1172048.0,0.0,0.7474188804626465,0.23051945865154266,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
3,0.11968454718589783,0.0,86028.0,0.0,0.0,3519772.0,0.0,0.7216623425483704,0.36486420035362244,0.9819099307060242,0.0,86.0,0.9644628167152405,0.0,2334.0,0.146417498588562,0.0,28892.0,0.0,0.0,1172048.0,0.0,0.6508333683013916,0.25333693623542786,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
4,0.1350717842578888,0.0,86028.0,0.0,0.0,3519772.0,0.0,0.6361880302429199,0.41427284479141235,0.9819099307060242,0.0,86.0,0.9644628167152405,0.0,2334.0,0.1499328464269638,0.0,28892.0,0.0,0.0,1172048.0,0.0,0.5637192130088806,0.27367421984672546,0.9912389516830444,0.0,14.0,0.9826302528381348,0.0,792.0
