epoch,frame_auc,frame_f1_score,frame_fn,frame_fp,frame_precision,frame_tn,frame_tp,loss,utt_auc,utt_f1_score,utt_fn,utt_fp,utt_precision,utt_tn,utt_tp,val_frame_auc,val_frame_f1_score,val_frame_fn,val_frame_fp,val_frame_precision,val_frame_tn,val_frame_tp,val_loss,val_utt_auc,val_utt_f1_score,val_utt_fn,val_utt_fp,val_utt_precision,val_utt_tn,val_utt_tp
0,0.10715889185667038,0.03721758723258972,82834.0,19452.0,0.09225815534591675,7105847.0,1977.0,0.9156116247177124,0.35213178396224976,0.647379457950592,1257.0,1411.0,0.42874494194984436,1112.0,1059.0,0.08389340341091156,0.0,30109.0,0.0,0.0,2373261.0,0.0,0.9054160118103027,0.6359400749206543,0.6685925722122192,810.0,0.0,0.0,803.0,0.0
1,0.08039670437574387,0.0,84811.0,0.0,0.0,7125299.0,0.0,0.8884490728378296,0.5148115754127502,0.647379457950592,2316.0,0.0,0.0,2523.0,0.0,0.08426448702812195,0.0,30109.0,0.0,0.0,2373261.0,0.0,0.8987107276916504,0.5881640315055847,0.6685925722122192,810.0,0.0,0.0,803.0,0.0
2,0.08192044496536255,0.0,84811.0,0.0,0.0,7125299.0,0.0,0.8869727253913879,0.5549184083938599,0.647379457950592,2316.0,0.0,0.0,2523.0,0.0,0.08429346978664398,0.0,30109.0,0.0,0.0,2373261.0,0.0,0.8985578417778015,0.5913503170013428,0.6685925722122192,810.0,0.0,0.0,803.0,0.0
3,0.07989456504583359,0.0,84811.0,0.0,0.0,7125299.0,0.0,0.885736346244812,0.567054033279419,0.647379457950592,2316.0,0.0,0.0,2523.0,0.0,0.08424696326255798,0.0,30109.0,0.0,0.0,2373261.0,0.0,0.8976833820343018,0.6360753774642944,0.6685925722122192,810.0,0.0,0.0,803.0,0.0
4,0.07877220958471298,0.0,84811.0,0.0,0.0,7125299.0,0.0,0.8850812315940857,0.5659117698669434,0.647379457950592,2316.0,0.0,0.0,2523.0,0.0,0.08414356410503387,0.0,30109.0,0.0,0.0,2373261.0,0.0,0.8977293968200684,0.6718616485595703,0.6685925722122192,810.0,0.0,0.0,803.0,0.0
