epoch,frame_auc,frame_f1_score,frame_fn,frame_fp,frame_precision,frame_tn,frame_tp,loss,utt_auc,utt_f1_score,utt_fn,utt_fp,utt_precision,utt_tn,utt_tp,val_frame_auc,val_frame_f1_score,val_frame_fn,val_frame_fp,val_frame_precision,val_frame_tn,val_frame_tp,val_loss,val_utt_auc,val_utt_f1_score,val_utt_fn,val_utt_fp,val_utt_precision,val_utt_tn,val_utt_tp
0,0.0792372077703476,0.0,86985.0,1046.0,0.0,7122079.0,0.0,0.9142164587974548,0.31100136041641235,0.655646562576294,744.0,2350.0,0.4074634313583374,129.0,1616.0,0.08513179421424866,0.0,27935.0,0.0,0.0,2375435.0,0.0,0.8879737257957458,0.4631844460964203,0.6439679861068726,638.0,478.0,0.2112211287021637,369.0,128.0
1,0.0826973095536232,0.0,86985.0,0.0,0.0,7123125.0,0.0,0.8933688402175903,0.4140879809856415,0.655646562576294,2328.0,112.0,0.2222222238779068,2367.0,32.0,0.08663801848888397,0.0,27935.0,0.0,0.0,2375435.0,0.0,0.8844383955001831,0.5,0.6439679861068726,766.0,0.0,0.0,847.0,0.0
2,0.08475581556558609,0.0,86985.0,0.0,0.0,7123125.0,0.0,0.8925241231918335,0.4098816215991974,0.655646562576294,2360.0,0.0,0.0,2479.0,0.0,0.08543913066387177,0.0,27935.0,0.0,0.0,2375435.0,0.0,0.8881274461746216,0.5,0.6439679861068726,766.0,0.0,0.0,847.0,0.0
3,0.0861637145280838,0.0,86985.0,0.0,0.0,7123125.0,0.0,0.8907802104949951,0.46642687916755676,0.655646562576294,2360.0,0.0,0.0,2479.0,0.0,0.08562871068716049,0.0,27935.0,0.0,0.0,2375435.0,0.0,0.8826881051063538,0.5,0.6439679861068726,766.0,0.0,0.0,847.0,0.0
4,0.08043181896209717,0.0,86985.0,0.0,0.0,7123125.0,0.0,0.8904885649681091,0.493327796459198,0.655646562576294,2360.0,0.0,0.0,2479.0,0.0,0.08633270114660263,0.0,27935.0,0.0,0.0,2375435.0,0.0,0.8824325203895569,0.5127997398376465,0.6439679861068726,766.0,0.0,0.0,847.0,0.0
